,order_details_id,order_id,pizza_id,quantity,date,time,week
47774,1,1,hawaiian_m,1,2016-01-01 00:00:00,11H 38M 36S,53
3606,5,2,mexicana_m,1,2016-01-01 11:57:40,00:00 AM,53
3602,4,2,mexicana_m,1,2016-01-01 11:57:40,00:00 AM,53
3603,2,2,classic_dlx_m,1,2016-01-01 11:57:40,00:00 AM,53
3605,3,2,five_cheese_l,1,2016-01-01 11:57:40,00:00 AM,53
3604,6,2,thai_ckn_l,1,2016-01-01 11:57:40,00:00 AM,53
45115,8,3,prsc_argla_l,1,2016-01-01 11:57:40,12:12 PM,53
45116,7,3,ital_supr_m,1,2016-01-01 11:57:40,12:12 PM,53
44283,9,4,ital_supr_m,1,2016-01-01 00:00:00,12:16:31,53
38708,10,5,ital_supr_m,1,2016-01-01 12:21:30,00:00 AM,53
40614,11,6,ital_supr_m,1,2016-01-01 00:00:00,12:29:36,53
40615,12,6,ital_supr_m,1,2016-01-01 00:00:00,12:29:36,53
42466,13,7,ital_supr_m,1,2016-01-01 00:00:00,12:50 PM,53
47292,14,8,spinach_supr_s,1,2016-01-01 00:00:00,12:51 PM,53
9220,18,9,ital_supr_l,1,2016-01-01 00:00:00,12:52:01,53
9224,15,9,classic_dlx_s,1,2016-01-01 00:00:00,12:52:01,53
9218,16,9,green_garden_s,1,2016-01-01 00:00:00,12:52:01,53
9223,23,9,veggie_veg_s,1,2016-01-01 00:00:00,12:52:01,53
9217,21,9,spicy_ital_l,1,2016-01-01 00:00:00,12:52:01,53
9222,22,9,spin_pesto_l,1,2016-01-01 00:00:00,12:52:01,53
9216,17,9,spin_pesto_l,1,2016-01-01 00:00:00,12:52:01,53
9221,20,9,mexicana_s,1,2016-01-01 00:00:00,12:52:01,53
9219,19,9,mexicana_s,1,2016-01-01 00:00:00,12:52:01,53
13169,24,10,mexicana_l,1,2016-01-01 00:00:00,13:00 PM,53
13170,25,10,southw_ckn_l,1,2016-01-01 00:00:00,13:00 PM,53
30908,28,11,southw_ckn_l,1,2016-01-01 00:00:00,13:02:59,53
30907,27,11,cali_ckn_l,1,2016-01-01 00:00:00,13:02:59,53
30906,26,11,bbq_ckn_l,1,2016-01-01 00:00:00,13:02:59,53
30909,29,11,pepperoni_l,1,2016-01-01 00:00:00,13:02:59,53
33418,30,12,cali_ckn_l,1,2016-01-01 00:00:00,13:04:41,53
33417,31,12,cali_ckn_s,1,2016-01-01 00:00:00,13:04:41,53
33415,33,12,ital_supr_m,1,2016-01-01 00:00:00,13:04:41,53
33416,32,12,ckn_pesto_l,1,2016-01-01 00:00:00,13:04:41,53
5147,34,13,mexicana_l,1,2016-01-01 00:00:00,13:11:55,53
44226,35,14,the_greek_s,1,2016-01-01 00:00:00,13H 14M 19S,53
35548,39,15,the_greek_s,1,2016-01-01 00:00:00,13:33 PM,53
35546,37,15,the_greek_s,1,2016-01-01 00:00:00,13:33 PM,53
35547,38,15,soppressata_l,1,2016-01-01 00:00:00,13:33 PM,53
35545,36,15,big_meat_s,1,2016-01-01 00:00:00,13:33 PM,53
27953,40,16,four_cheese_l,1,2016-01-01 13:34:07,00H 00M 00S,53
27952,41,16,napolitana_s,1,2016-01-01 13:34:07,00H 00M 00S,53
27954,42,16,thai_ckn_l,1,2016-01-01 13:34:07,00H 00M 00S,53
14737,46,17,four_cheese_m,1,2016-01-01 13:53:00,00H 00M 00S,53
14744,45,17,five_cheese_l,1,2016-01-01 13:53:00,00H 00M 00S,53
14745,49,17,mediterraneo_m,2,2016-01-01 13:53:00,00H 00M 00S,53
14738,43,17,bbq_ckn_l,1,2016-01-01 13:53:00,00H 00M 00S,53
